id,imagemUrl,titulo,tipoObra,temas_filtrados
19584,https://acervo-portinari.s3.sa-east-1.amazonaws.com/a67269b3790f9f56158aecf6b9bff8d4.jpeg,Laçando Boi,Pintura,"Cenas de trabalho, Trabalhadores"
19588,https://acervo-portinari.s3.sa-east-1.amazonaws.com/2d38f02c9be37cc06d6c5d4ae4b391bc.jpeg,Favela,Pintura,Favela
19685,https://acervo-portinari.s3.sa-east-1.amazonaws.com/0a0c0c9aed14709d6edf6bc4571f57a8.jpeg,Máscara,Pintura,"Festas populares, Carnaval"
19710,https://acervo-portinari.s3.sa-east-1.amazonaws.com/d472084ffbe7e73230b37820fc4b3ce7.jpeg,Jogo de Futebol em Brodowski,Pintura,"Paisagem, Brodowski"
19724,https://acervo-portinari.s3.sa-east-1.amazonaws.com/7f46aa22fe413672bfdab50ac87e159f.jpeg,Jangadas,Pintura,Trabalhadores
19731,https://acervo-portinari.s3.sa-east-1.amazonaws.com/c048747a8b04e8ec7d48dad3f93b4bc7.jpeg,Paisagem de Petrópolis,Pintura,Paisagem
19737,https://acervo-portinari.s3.sa-east-1.amazonaws.com/3b6998bf25b4e659a003e4785971da81.jpeg,A Transfiguração,Pintura,"Paisagem, Campo"
19739,https://acervo-portinari.s3.sa-east-1.amazonaws.com/9758c0245326e457b5a6e3744b8b82bc.jpeg,Arrozal,Pintura,"Cenas de trabalho, Cultura de arroz, Paisagem, Campo"
19746,https://acervo-portinari.s3.sa-east-1.amazonaws.com/801f2bb83b0611efebec2a0bdea3703b.jpeg,Boba,Pintura,Paisagem
19796,https://acervo-portinari.s3.sa-east-1.amazonaws.com/285eedab8c54bd44b9ed07decd4325d7.jpeg,Mulher e Peneira,Pintura,"Cenas de trabalho, Cultura de café, Trabalhadores"
19805,https://acervo-portinari.s3.sa-east-1.amazonaws.com/f039e0d6ad918e7698efd11e87fbb94c.jpeg,O Filho Domício,Pintura,"Paisagem, Campo"
19806,https://acervo-portinari.s3.sa-east-1.amazonaws.com/b0af4682a5afdd57a0602d8ed21a5624.jpeg,Bentinho e Mestre Jerônimo,Pintura,"Paisagem, Campo"
19807,https://acervo-portinari.s3.sa-east-1.amazonaws.com/8b7db15d97c7d00bb35edb37d3115344.jpeg,Abraço de Proteção,Pintura,"Paisagem, Campo"
19808,https://acervo-portinari.s3.sa-east-1.amazonaws.com/b74959f7a6f8717934a350283cbf0f4c.jpeg,Mulher Morta,Pintura,"Paisagem, Campo"
19809,https://acervo-portinari.s3.sa-east-1.amazonaws.com/d0e60d4a8e3cea9258b185276a4f25e3.jpeg,Cangaceiro e Casal,Pintura,"Paisagem, Campo"
19811,https://acervo-portinari.s3.sa-east-1.amazonaws.com/895e85f4e01b1b203e1a3ad2cc14ccec.jpeg,Quatro Homens,Pintura,"Paisagem, Campo"
19814,https://acervo-portinari.s3.sa-east-1.amazonaws.com/8a7485ce7412bb78ff89630879700010.jpeg,Cangaceiro e Mulher,Pintura,"Paisagem, Campo"
19818,https://acervo-portinari.s3.sa-east-1.amazonaws.com/4d6abfd25cf73144464da75012ead61b.jpeg,Cangaceiro,Pintura,"Paisagem, Campo"
19820,https://acervo-portinari.s3.sa-east-1.amazonaws.com/e537a6cddc517d6131760b729e1dbd8f.jpeg,Dois Homens,Pintura,"Paisagem, Campo"
19822,https://acervo-portinari.s3.sa-east-1.amazonaws.com/a78bee5722ebb5775d1c49686833496d.jpeg,Cangaceiro a Cavalo,Pintura,"Paisagem, Campo"
19824,https://acervo-portinari.s3.sa-east-1.amazonaws.com/74ebee4284ef7181d0a017ccf6c90dcd.jpeg,Dois Homens Conversando,Pintura,"Paisagem, Campo"
19826,https://acervo-portinari.s3.sa-east-1.amazonaws.com/9806e4aa644c7818b8296c7ff7163976.jpeg,Figura Sentada,Pintura,"Paisagem, Campo"
19827,https://acervo-portinari.s3.sa-east-1.amazonaws.com/9a3d588fde56c16d584db3db2813d77b.jpeg,Cangaceiros Conversando,Pintura,"Paisagem, Campo"
19829,https://acervo-portinari.s3.sa-east-1.amazonaws.com/8520ec5eb0f6dc6f50924711e492eb9e.jpeg,Cangaceiros Andando,Pintura,"Paisagem, Campo"
19838,https://acervo-portinari.s3.sa-east-1.amazonaws.com/49060e3ff3db6d4e35a8daf81f3b3885.jpeg,Enterro,Pintura,"Paisagem, Campo"
19840,https://acervo-portinari.s3.sa-east-1.amazonaws.com/4ae3a34af6d2d81417aa16ab44bc2d83.jpeg,"Bento, Deoclécio e Alice",Pintura,"Paisagem, Campo"
19842,https://acervo-portinari.s3.sa-east-1.amazonaws.com/d787ef4fbbe142e2134cc206b46f65cb.jpeg,Cangaceiro Montado,Pintura,"Paisagem, Campo"
19854,https://acervo-portinari.s3.sa-east-1.amazonaws.com/c3ce0cb486287d0bbf4381c71b1446ee.jpeg,Menino com Carneiro,Pintura,"Paisagem, Campo"
19868,https://acervo-portinari.s3.sa-east-1.amazonaws.com/847fbcfe0b9be21c6b40c5b185f05028.jpeg,Meninos com Balões,Pintura,"Paisagem, Campo"
19882,https://acervo-portinari.s3.sa-east-1.amazonaws.com/f1650b1de1ae9961d0f555023e62f4b2.jpeg,Retrato do Maestro Francisco Braga,Pintura,Paisagem
19901,https://acervo-portinari.s3.sa-east-1.amazonaws.com/e45629061efac087133905ed45079acb.jpeg,Esquartejamento de Felipe dos Santos,Pintura,Cenas Históricas
19909,https://acervo-portinari.s3.sa-east-1.amazonaws.com/94dae640ae37d9589d3dc0f6f2ce27f4.jpeg,Cafezal,Pintura,"Cenas de trabalho, Cultura de café"
19929,https://acervo-portinari.s3.sa-east-1.amazonaws.com/1da55dc300f12d908d68d036c5a4533c.jpeg,Bumba-Meu-Boi,Pintura,Festas populares
19933,https://acervo-portinari.s3.sa-east-1.amazonaws.com/d379f6a4b38197d8be7d1c1f2f1b5dd3.jpeg,Boi,Pintura,Festas populares
19963,https://acervo-portinari.s3.sa-east-1.amazonaws.com/bbaf94c6b61f700204ea97afb6c4f9bd.jpeg,Paisagem de Petrópolis,Pintura,"Paisagem, Campo"
19980,https://acervo-portinari.s3.sa-east-1.amazonaws.com/2d0241bef577b3cd5fa9414d4006b281.jpeg,Ciranda,Pintura,"Cenas de trabalho, Paisagem"
19990,https://acervo-portinari.s3.sa-east-1.amazonaws.com/bf3012bb4ae244b93ac1c35bbfacce2b.jpeg,Garimpeiros,Pintura,"Cenas de trabalho, Garimpagem, Trabalhadores, Garimpeiro"
19994,https://acervo-portinari.s3.sa-east-1.amazonaws.com/44f755c5ec27a4a7b0a6de7acad03d38.jpeg,Menino com Carneiro,Pintura,"Paisagem, Campo"
19996,https://acervo-portinari.s3.sa-east-1.amazonaws.com/aa10b09a1afef61872de806a05adf422.jpeg,Faiscadores de Ouro,Pintura,"Cenas de trabalho, Garimpagem, Trabalhadores, Garimpeiro"
20007,https://acervo-portinari.s3.sa-east-1.amazonaws.com/2f3329b09a7103641b83dae371ac72a0.jpeg,Colheita de Cacau,Pintura,"Cenas de trabalho, Cultura de cacau, Trabalhadores"
20011,https://acervo-portinari.s3.sa-east-1.amazonaws.com/672206c7db5a4f5544b622046f5e43ee.jpeg,Lavadeiras,Pintura,"Cenas de trabalho, Trabalhadores"
20038,https://acervo-portinari.s3.sa-east-1.amazonaws.com/5d258844fa796686af417033adbe32f9.jpeg,Cena de Morro,Pintura,Favela
20040,https://acervo-portinari.s3.sa-east-1.amazonaws.com/6fc2aa64a67baab9c5233ef3af1de9fe.jpeg,Espantalho,Pintura,"Paisagem, Campo"
20041,https://acervo-portinari.s3.sa-east-1.amazonaws.com/fb144e6194d04b84506657ab4f48e34c.jpeg,Noivos,Pintura,"Paisagem, Campo"
20045,https://acervo-portinari.s3.sa-east-1.amazonaws.com/a53dae0fd098cdab52905ab6f0ea2c8a.jpeg,Paisagem de Petrópolis,Pintura,Paisagem
