id,pagina,estrofes,titulo,ano,tecnica,local,dimensoes,colecao
poema_087,148,"  Não se vê o começo e nem o fim / Imploro uma brecha – Ninguém / Me dá atenção, teriam ensurdecido? / Ou talvez não tenham olhos. / Cada um joga no futuro, mesmo / No fim. A miragem não vive / Só no deserto. Todas as criaturas / Têm reservatórios. / A loucura não está com elas / São enfermos da tristeza sem / Suspeitarem. Do lado de fora / Tenho a alvorada e o verão / Fazendo-me companhia / Não consigo sair do lugar / As areias do mar contam-me / Histórias dos navegantes e o / Silêncio das águas. / Andei pelas estradas sem / Fim pisei nos pedregulhos / Estive no buracão vendo o / Moinho de fubá, as águas / Aflitas eram estranguladas / Sob a roda de mover / Passavam e nunca mais voltavam / Para onde iriam e onde estarão? / Sabemos tão pouco, nem de suas / Idades suspeitamos, quais serão as / Suas transformações? Pouca água / Há ali e é distribuída entre os / Córregos. As nuvens de chuva as / Deixavam correndo correndo / Sempre. O vento passava sem lhes / Dar atenção. Os seixos pouco avançavam como paralíticos. / Às vezes rasgando um pedaço de papel, assustado / detenho-me e indago: ele sentirá dor?… / Onde estão as flores? Deste-me / Uma braçada, mas não as encontro. / Feridas estão as minhas mãos pelos / Espinhos — mas onde estão as / flores? Meus dedos sangram / Não quero mais nada de ti / Vives me machucando… / Separada. Não / Suspeitas haver um mundo lutando? / E flores do campo. Não te / aproximes delas — sofreriam / com teu olhar… / Não as toque nunca. / 149",Vaso de flores,1942,Pintura a óleo/tela,"Rio de Janeiro, RJ",73 × 60 cm,Coleção particular
poema_089,151,"  Semearei água / Não vês aí em nossa frente as águas se / Balançando? De onde teriam vindo, cruzando / Os ventos? Ora banhando praias distantes / Ou dando em lugares desertos. Vês este é / O rio Negro aquele outro ao sul é o Pardo. / Todos se encaminharam para o mar… Antes / Banhavam as terras magras. / Leva-me, te mostrarei as árvores / E os vaga-lumes nas noites escuras. Poderemos / Amar a erva e o céu. Sem receios / E sem cansaço. Serás sempre bela o tempo / Nada fará. Talvez me faças ver mais adiante / E não serei triste. Semearei água nas terras / Secas. Os doidos só veem o essencial. / Nossa casa será em qualquer parte / Usaremos o céu para nos cobrir. / 151      ",A barca,1941,Pintura a óleo/tela,"Rio de Janeiro, RJ",200 × 200 cm,Coleção Museus Castro
poema_090,153,"  Cães sarnentos e esqueléticos / De olhar doce e humano / Fugiam sempre. Eram enxotados / A todo instante. Só as crianças / Tratavam-nos bem. Olhos remelentos e / Comoventes pobres pobres e sem / Dono. Não se metiam em brigas / Farejavam os meninos amigos / Até na igreja eram escorchados / Mas a lua iluminava ao rei e / A eles. A brisa soprando não / Discriminava. A água matava / A sede do homem, da ave e do cão / A terra alimentava a todos / O eco longínquo era ouvido por eles / Também. Serão alguns Santos em penitência? /",Menina com cachorro,1940,Desenho a óleo e,"Rio de Janeiro, RJ","62,5 × 50,5 cm",Coleção particular
poema_094,157,"  Viajante solitário / A amada é figura existente? / Facilitei como se faz na infância / Para mostrar coragem… Caminhei / Pelos montes e nas florestas virgens / Respirei fundo a brisa da aurora / Olhei as pedras e as palmeiras / O tatu e a seriema. Continuamos / Até a fazenda da fartura e sempre / De mãos dadas atravessamos os / Espaços indo parar em Canaã / Gritei por Jesus!… / Quis comentar e estava só. / 157",Homem chorando,1947,Desenho a crayon/papel,Montevidéu,"35 × 24,5 cm",Coleção particular
poema_096,159,"  Mulas sem cabeça povoando / O mundo. Enchendo-o / E o espaço continua vazio… / Renegados como leprosos / Vagamos: / Perdidos pelas estradas… / O escuro permanente… / No céu não haverá piedade? / A desgraça cai como uma pedra / dura… / 159",Mula sem cabeça,1957,Desenho a grafite/papel,"Brodowski, SP",34 × 46 cm,Coleção particular
poema_097,161,"  Não me quiseram, enjeitaram / Minhas palavras… / Serei um dos meus espantalhos? / Afugento os caminhantes? / Não, eles se afugentam. Não / Entendem a lua / Não sabem da poesia / Só não estou, mesmo não estando / Comigo. Converso com o vento e a / Tempestade. / De noite ou dia — verei as sombras / E dormirei em paz. Tenho uma / Camisa. Meu leito é embaixo das / Árvores. Tranquilo ouço o rumorejar / Das folhas secas… / ",Espantalho na tempestade,1944-1959,Pintura a guache e grafite/papel,"Rio de Janeiro, RJ","28,5 × 42,5 cm",Coleção particular
poema_098,163,"  Não serei nuvem e nem concha do mar / Ganhei o que havia de melhor / Viajei muito por terra e pelas águas / Fui dos escolhidos olhava o céu / Como dono de todas as estrelas / Habituei-me com os animais / Seus olhares mansos / Parecia nos entendermos / Contava-lhes as histórias aprendidas / Com Dona Iria. Tive muitos cavalos / Amarelos e alguns zebus azuis, meus / Cabritinhos brancos nunca mais os verei /",Menino com carneiro,1954,Pintura a óleo/tela,"Rio de Janeiro, RJ",50 × 61 cm,Coleção particular
poema_101,167,"  Chafarizes de fogo incendiavam o / Espaço. As águas espavoridas fugiam / O céu todo salpicado de rosa / Chora. Será dia, noite ou morte? / O frio corre atrás de mim / Não sei por que se apressa / Já estou todo gelado… / Os cumprimentos corteses tão / Alegres escapuliram. Quem / Saberá para aonde foram? / Minha vida minha vida vai correndo / Correndo tanto, nem mais posso / Acompanhá-la. Naquele tempo, / Mais longe ainda, olhava o céu / Estrelado. Pedia a Deus para morrer / Seria anjo: sete anos. Tudo / Corre sem tempo de ver… / Amei a primeira que passava / Não vivi. Baixarei à sepultura / Solitário. Nada ficará… Não saberei / Dos amigos e nem da família. / A morte será colorida? / Qual a cor do outro lado?",Espantalhos,1940,Pintura a óleo/tela,"Rio de Janeiro, RJ",81 × 100 cm,Coleção Gilberto Chateaubriand - Museu de Arte Moderna do Rio de Janeiro - RJ
poema_107,177,"  Grünewald / Morto mas ainda / Caminhando quis te / Ver. Não importa / Se fecharam a entrada / Não quiseram que te visse / Maus ventos sopraram / Vi-te do buraco da luz / Vi-te na asa do sol / Vi-te no espaço como uma / Asa. Vi-te brincando com / As crianças / Vi o circo ao teu redor… / Senti aqueles mesmos ventos / Dos subterrâneos que penetraste. / Senti-os sob os meus pés: / Povoados de assombrações. / Querem escapulir da sombra / No dia de lua nova te / Levei a poeira vermelha do / Meu povoado, era só o que tinha… / Colmar, 1º nov., 1961",Cabeça de Jesus,1941,Pintura a óleo/tela,"Brodowski, SP",54 × 45 cm,Coleção particular
poema_108,179,"  Grünewald / Tanto te conheço / Tanto te vi e não / Te vi. Viajei mares / Enfrentei tempestades / Calor e frio. A maldição / Está comigo. Conheces-a / Breve estarei contigo / Já não há espaço / O fogo, as espadas de / Aço, a loucura e o lodo / Cobrem as flores. / As vozes da brisa sumiram / O bem é teu, permanecerá. / Malditos eles donos do mal / Não existirão / Ah, mesmo cego, olharei teus olhos… / Colmar, 1º nov., 1961 / ",Retábulo,1952,Pintura a guache/cartolina,"Brodowski, SP",50 x 45 cm,Coleção desconhecida
poema_109,182,"  Emily Dickinson / Emily Emily, ficaste na velha casa / Reclusa até a luz de tua vida se extinguir docemente / American history escureceu, um raio faiscou vermelho como brasa / As crianças se assustaram e se foram tristemente / Pressentiram o acontecimento / Apagara-se o lume com a tempestade fremente / Coriscos clarões raios e ventania sumiram num momento / As crianças no funeral, com braçadas de flores, iam na frente / Não brincaram mais naquele dia / Se falasse às crianças elas sentiriam / A beleza de tua poesia os homens senhores da economia / Se assustariam e raivosos do seu convívio te baniriam / Já tinhas deixado aquele convívio desde que os conheceste / Não supunham quem eras aqui na terra / Não entenderiam teu mundo que vai além do celeste / Ao primeiro contato com eles, esvoaçou tua alma delicada e etérea / Bem no alto brilha a tua poesia como um sol que faz viver / Não te importes por não teres conhecido mais terras / Mil vezes a solidão e o silêncio para conviver / Do que os que estavam ao teu redor sem saberem quem eras / Com o cortejo dos anjos te acompanhando / Vão as flores de teus versos nos redimindo: / O azul refletindo nos anjos e as espadas de fogo iluminando / A longa estrada celeste onde só o sofredor é bem-vindo  / Os raios, o céu encoberto, as tempestades e a trovoada / Homenageando te fazendo feriado. Lá estarão o sol e a lua / E o arco-íris enchendo o firmamento com o brilho de sua grande arcada / O vento soprando teus poemas. E a noite silenciosa será sempre tua / Emily Emily / Paris, set. 1958. / 183",Retrato de Emily Dickinson,1958,Desenho a caneta-tinteiro/papel,Paris,"15 × 11,5 cm",Coleção particular
poema_110,185,"  Ensaio de oração para minha / DENISE, / no seu um e meio aniversário / Senhor, Tua branca espada não deixará / Que penetrem em meu pequeno / Coração: o egoísmo, a vaidade, a / Desconfiança e os males… / A luz refletida de / Tuas coisas me iluminará na estrada real / Distanciando-me da treva / Ao lado dos outros nas lutas / Seja eu areia macia que não incomoda / Que meu olhar atravesse o opaco e perceba / A erva de Deus não a esmagando / Sob meus pés. / Dai-me muito amor. Eu o distribuirei / Nas filas intermináveis / Se esta prece ouvires forte serei / E diariamente a farei / Meditando-a com meus / Atos de cada instante / Caminharei iluminado, sem me / Perder na escuridão. / Amém. / Denise com carneiro/ Paris, 6 nov., 1961",branco,1961,Pintura a óleo/madeira,"Rio de Janeiro, RJ",61 × 50 cm,Coleção particular
