id,pagina,estrofes,titulo,ano,tecnica,local,dimensoes,colecao
poema_069,119,"  De aspecto diferente não se mostra / Mais, nem nos dias de sol / Nem nos dias sombrios. / Maria de Nazaré / caminha para Belém passando Caná. / O céu de madrepérola da terra dos santos / acompanha a inquietude também / Maria de Nazaré / Com sua passagem as flores ficarão / mais belas / Apareces em toda parte / nas estradas, no mar, muitas vezes / bem perto. / Silenciosa pousas teu olhar em mim / Meu pensamento gira / em torno de ti.",Madona com menino Jesus,1943,Pintura a têmpera/madeira,"Rio de Janeiro, RJ","21 × 14,5 cm",Coleção particular
poema_0122,120,"  O vento soprou o dia apagando-o / Na escuridão da noite começou / Aparecer a lua como um sol grave. / As estrelas acordaram abrindo os olhos. / Ajudando a clarear os caminhos / Por onde vamos sempre e sem / Saber onde. As águas dos córregos / Vão cansadas do longo percurso / A terra velha e enferma sorve / O escasso líquido… em / Alguns trechos o solo estava morto / Homens simples, homens-máquinas / Dão tudo e morrem para mantê-las / Vivas. Nuvens amigas de vez em / quando os ajudavam. Há semelhança / Entre eles. Aquele lavrador parecia / O velho pé de café, outro escalavrado como a terra da / Fazenda / Pobres criaturas, pobres lavouras / Um dia plantaremos sementes desta gente de paz. / 120                                                                       ",,,,,,
poema_0125,123,  A    revolta / 123      ,,,,,,
poema_071,125,"  Os inventariantes / I / Os inventariantes pedirão conta dos cílios / Apedrejados. Das madeiras inertes e dos cabelos / Perdidos e dos egoísmos. Das penas das aves / Das chuvas inúteis. Dos furacões e dos ventos / II / Dos espaços perdidos. Das lágrimas secas / Dos carvões em brasa e das fogueiras de São João. / Das violetas sob a terra nos cemitérios / Das cores claras das moças morenas. / III / Das gotas d’água afundadas nas pedras. Dos laranjais / Sem laranja e das malvadezas. Das águas constantes e / Da lepra. Quem responderá? Os inventariantes quererão saber / Dos feios e dos pequenos funcionários que estão sempre / IV / Nas filas, filas de caixões de defunto. Filas das prestações / Nas filas dos hospitais, filas dos sofrimentos de arrancar / Dentes, de arrancar o olho e transfusões de sangue com água / Nas filas de leite com água e nas filas de pedir água. / V / Nas filas intermináveis da morte que não chega… / Pedirão conta do lodo. Das espadas brancas. Dos cães amedrontados / Dos pés estragados, dos dedos perdidos. Da nave morta e / Repelida, cheia de gente viva. Dos fornos queimando vivos. / Mulheres antigas e jovens… Pedirão conta das éguas",Operário,1947,Pintura a óleo/tela,"Rio de Janeiro, RJ","99 × 80,5 cm",Coleção particular
poema_072,126,  Solteironas. Dos frutos podres que os meninos não comeram / Dos que engendram a maldição. Dos cheiros misturados. / VII / Dos fogos perdidos. Das meninas feias morando distante / E chegando sempre na luz da aurora. Pedirão conta dos / Moirões queimados e das angústias. Dos ninhos de joões-de-barro / Das areias estéreis. Da malária. Da ameba. Das sezões. Dos / VIII / Sarampos. Das tosses compridas. Das seriemas e gabirobeiras / Dos meninos caolhos e barrigudos. Dos estropiados. Dos / Espinhos. Das borboletas refletidas n’água estagnada. / Das gotas de sangue desconhecidas. Dos urubus tristes e / IX / Malqueridos. Das moças sem dentes e sempre grávidas. / Das manchas amarelas nas pedras. Ouvirão os horizontes fugidios? / Pedirão conta dos gritos sem eco. Das fomes mortas. / Das estradas azuis. Das nascentes nas montanhas. / X / Dos ruídos à toa. Das almas mortas sem destino. / Dos enfartes no silêncio dos campos. Pedirão conta / Dos silêncios intermináveis. Dos pobres assassinados e dos / Assassinados a machado. Dos desastres e trilhos enferrujados. / XI / Das porteiras cantadeiras e solitárias. Das portas abandonadas. / Das tristezas vagando. Dos escorpiões e viúvas-negras só / Conhecidas dos pequeninos… Pedirão conta da / Erva nascida do sopro da inocência…,Jó,1943,Painel a óleo e carvão/tela,"São Paulo, SP",217 × 178 cm,Coleção Museu de
poema_0130,128,"  Deus de violência / Estou com vida mas estive sempre à espera / De viver. Não sei por que estou isolado e só / Sentimos a inutilidade em existir. Se houver Deus / É de violência; nos deixa apodrecer ainda caminhando / É o dono de moléstias pavorosas. Alimenta / As dores dos recém-nascidos, do homem, da mulher, / Do velho e do cão. Há repetição de ruídos / Furacões, lamento de crianças com fome / Andamos, mal-encarados, e com o pensamento / Em enganar alguém. Desconfiados, temerosos / Das doenças incuráveis. Ignoramos / Já estarmos inscritos numa dessas doenças fatais. / 128                                                                       ",,,,,,
poema_0131,129,"  Quem seriam aqueles três rasgados / E sem cara? Vinham a cavalo. / Mais próximos não davam a impressão de gente, / Mas de três volumes se movendo como bandeiras / Esfarrapadas. Rentes a mim, estenderam / algo como uns braços, com vestígios / de dedos, segurando uma caneca de folha. / Eram restos de três criaturas / Espaventosas carregando a lepra. / Vinham das bandas do Triângulo. Os sons / que emitiam eram como / Sombras de palavras. / Meu pai chamou-os / para o almoço. Sentaram-se à nossa mesa. / Nós crianças olhávamos intimidados / Depois confraternizados. Quando se foram, / Perguntamos: — Que santos / são aqueles? / 129      ",,,,,,
poema_0133,131,"  Os cavalos dos leprosos se parecem com eles. / Manchas no focinho e no corpo, o mesmo olhar / Mortiço e desacoroçoado. / Homem e cavalo / Vinham vagarosamente / De porta em porta. Teriam / A mesma doença? / Arrepiados da cabeça aos pés, / O sol os acariciava, e se moviam lentamente. / Nas noites de treva / O cavalo era o guia, só ele enxergava. / Eram como dois irmãos. O alimento, / Repartido e o descanso também… / Seriam dois reis? / 131      ",,,,,,
poema_076,133,"  Os retirantes vêm vindo com trouxas e embrulhos / Vêm das terras secas e escuras; pedregulhos / Doloridos como fagulhas de carvão aceso / Corpos disformes, uns panos sujos, / Rasgados e sem cor, dependurados / Homens de enorme ventre bojudo / Mulheres com trouxas caídas para o lado / Pançudas, carregando ao colo um garoto / Choramingando, remelento / Mocinhas de peito duro e vestido roto / Velhas trôpegas marcadas pelo tempo / Olhos de catarata e pés informes / Aos velhos cegos agarradas / Pés inchados enormes / Levantando o pó da cor de suas vestes rasgadas / No rumor monótono das alparcatas / Há uma pausa, cai no pó / A mulher que carregava uma lata / De água! Só há umas gotas — Dá uma só / Não vai arribar. É melhor o marido / E os filhos ficarem. Nós vamos andando / Temos muito que andar nesse chão batido / As secas vão a morte semeando",Retirantes,1955,Desenho a grafite e sanguínea/papel,"Rio de Janeiro, RJ",26 × 27 cm,Coleção particular
poema_077,134,"  No povoado sonhando / Viu o mar. Um dia o / Veria de verdade. / Passaram alguns dezembros. / Chegou à praia / Sem saber se era dia ou noite, / Distante dali deixara o / Campo, os animais e as flores. / Faziam parte de sua / Vida de menino pobre. / Lembrava-se da chuva do rio e dos pássaros. / Não pôde ver o mar: estava cego.",Marinha,1942,Pintura a óleo/tela,"Rio de Janeiro, RJ",46 x 55 cm,Coleção particular
poema_078,136,"  Mulheres com dor d’olhos cobertas de trapos e / Sempre grávidas. Saindo dos panos há uma cara / Canelas finas e feridentas. Desde o seu nascimento / Penam. Noite e dia trabalham. Muitas já cegas, / Os filhos tracomosos e opilados. / As mocinhas de dezesseis anos / Só trazem na boca uns cacos de / Dentes. São assombrações. Espantam as águas dos / Rios e o arvoredo. Morrem trabalhando e / Ressurgirão no azul do céu vestidas de Lua.",Retirante grávida,1945,Desenho a sépia pincel/papel,"Rio de Janeiro, RJ",82 × 36 cm,Coleção desconhecida
poema_079,139,"  Faltam-me as pernas. / Tenho um braço e meus / Olhos são fracos. O coração palpitando / Sempre. / Vim da terra vermelha e do / Cafezal. / As almas penadas, os brejos e as matas virgens / Acompanham-me como o espantalho, / Que é meu autorretrato. / Todas as coisas / Frágeis e pobres / Se parecem comigo.",Espantalho,1947,Desenho a crayon/papel,"Rio de Janeiro, RJ","34,5 × 24,5 cm",Coleção particular
poema_0142,140,  Minha pupila estará cheia / De tanta gente? Mas está vazia… / Fantasmas movendo-se / Sem existência. / Levarei meus olhos fugindo / Procuro os escondidos inutilmente… / Na mediocridade — nem / Uma quinta-feira de folga… / Trabalham vestindo-os e o / Vento os move / Não entendem. Tempo gasto / À toa à toa. / Se soubesse conversar com a erva / Macia. Sem jeito piso-a esmagando-a / Impedido de um encontro desejado. / 140                                                                       ,,,,,,
poema_0143,141,  Agitam-se meus cabelos / Correndo. Meus braços vão para / O sul e as pernas para o norte / Boneco Carlitiano. / Faltam-me as lágrimas e o / Entendimento. Não vejo a lua e / Nem o sol ao meio-dia… / Eu não existo talvez. / Me darão a morte em noite de / Lua? Mas bom seria / Sem ninguém perto de mim. / 141      ,,,,,,
poema_0144,142,"  Sobressalente / O mar olha-me dia e noite e nos abandonamos / Às vezes, somente por alguns instantes / Assiste minha solidão e ao trabalho / A lua vai subindo em nossa frente / Quando se apresenta nitidamente redonda / Parece concentrar os olhos sobre mim / Em cada banco de pedra há mais de um / Casal de namorados. Nunca vivi assim / Fui diferente; fui sempre sobressalente / Em tudo. O que todos tiveram não tive / Às vezes, penso ter vindo por engano. / O material usado para me fabricarem, / lá no infinito, estava destinado a / Realizar folhas de árvore ou… água. / Por que vieste se nada sentes; me / Habituaria a pensar em ti no silêncio / Já eras uma fábula. Não ouves o / que digo. Desconversas sempre. / Quase nada sei de ti e nada / Queres saber de mim. / Sequei como a árvore no campo / O pouco de verde aparenta / Vida. Meus amigos mortos, mais / Vivos e mais estimados. / Só eles me darão vida… / Estão colocados em minha / Memória com as lembranças / De infância — nuvens brancas / Desfilando: cidades / Se movendo. Vou sobrando nada mais / Existe. / Assim sem alicerce vou afundando / No vácuo. / 142                                                                       ",,,,,,
poema_0145,143,"  Respirar / Não vemos a mesma paisagem / Já olhastes as ilhas aí em frente? / Por que olhas somente o que é teu? / Se sentisses como é habitado o espaço / E como nada pertence a ninguém… / Quando foi que nos conhecemos? / Serás mesmo a procurada? / Por que te chamo? / Nada desejo. / Olha bem e respira. / Pensa, se houvesse dificuldade / Pelo custo alto, em respirar, seria espantoso. / Poeira de terra morta brinca com o vento / Mulher com filhos embrulhados, ficaram / Na estrada, espiando por todos os lados, não vendo / Nem rastro dos outros, permaneceram ao lado da cova do chefe / [que enterraram / 143      ",,,,,,
poema_084,145,"  O filho menor está morrendo / As filhas maiores soluçam forte / Caem lágrimas de pedra. Mãe querendo / Levar menino morto: feio de sofrer, cara da morte / Desolação. Silêncio apavorando / Solo sem fim pegando fogo. / Não há direção. O sol queimando / Embrutece. Cabeça vazia de bobo / Há quanto tempo? Famintos e sem sorte / A água pouca, ninguém pede nem faz menção / Água, água, se acabar, vem a morte. / Estão irrigando a terra? É barulho de água? Alucinação / Que Santo nos poderia livrar? / Reza de velho louco / Deus pode a todos castigar. / Que é que esse menino tem? Está morto.",Criança morta,1944,Painel a óleo/tela,"São Paulo, SP",180 × 190 cm,Coleção Museu de Arte de São Paulo Assis Chateaubriand - São Paulo - SP
poema_0148,146,"  Corri muitos caminhos, vi muitas / Madrugadas estive dentro do fogo / Amanheci dormindo nas águas dos rios / Tudo para encontrar qualquer / Coisa branca. Existirá mesmo? / Andei andei até o céu. Perguntei / A todas as estrelas sem resultado / Estaria desejando o branco ou a luz? / Confuso ancorei aqui em frente / Ao mar. Não saí mais e não interroguei / Esqueci e a memória acabou / O que vejo não sei o nome / Vazio, poderia dobrar-me como / Folha de papel e caberia em / Meu bolso. Nem medo e nem coragem / Solidão completa… / Procurando nas colinas e nos brejos / Nas ruas e nas cadeias, no manicômio / E nos teatros e nos jogos de futebol / E nos conventos. / Achei? Já não me lembro. Alguma / Coisa branca e transparente? / Corri muito atrás de quinta-feira / Inutilmente. Mergulhei na areia / E desci de paraquedas. / Em terra surgi como espantalho / Confundi tudo e esqueci. De que / Andava em busca? Carreguei pedras / 146                                                                       ",,,,,,
